time,avg_power_kw
00:00:00,117.22222222222223
00:15:00,32.33777777777778
00:30:00,10.311111111111112
00:45:00,0.0
01:00:00,1.92
01:15:00,1.6
01:30:00,0.0
01:45:00,0.0
02:00:00,0.0
02:15:00,0.0
02:30:00,0.0
02:45:00,0.0
03:00:00,0.0
03:15:00,0.0
03:30:00,23.862222222222222
03:45:00,67.27777777777777
04:00:00,102.0
04:15:00,102.0
04:30:00,102.0
04:45:00,94.32444444444444
05:00:00,49.611111111111114
05:15:00,62.00666666666667
05:30:00,77.77777777777777
05:45:00,140.64666666666668
06:00:00,156.36
06:15:00,160.0
06:30:00,152.81555555555556
06:45:00,47.90222222222222
07:00:00,58.20666666666666
07:15:00,12.773333333333333
07:30:00,75.95777777777778
07:45:00,89.48666666666666
08:00:00,112.30666666666667
08:15:00,117.55111111111111
08:30:00,223.11555555555555
08:45:00,288.6933333333333
09:00:00,356.69555555555553
09:15:00,257.5444444444444
09:30:00,252.36666666666667
09:45:00,227.7511111111111
10:00:00,249.9177777777778
10:15:00,363.1
10:30:00,343.0133333333333
10:45:00,426.6911111111111
11:00:00,588.2355555555556
11:15:00,631.9911111111111
11:30:00,660.6888888888889
11:45:00,754.8266666666667
12:00:00,857.7111111111111
12:15:00,954.86
12:30:00,1170.4533333333334
12:45:00,1551.4577777777777
13:00:00,1699.3955555555556
13:15:00,2022.3555555555556
13:30:00,2288.2155555555555
13:45:00,2476.1311111111113
14:00:00,2423.7933333333335
14:15:00,2426.633333333333
14:30:00,2469.08
14:45:00,2575.931111111111
15:00:00,2819.9733333333334
15:15:00,3046.28
15:30:00,3088.5444444444443
15:45:00,2911.6266666666666
16:00:00,2847.9977777777776
16:15:00,2715.4866666666667
16:30:00,2855.9933333333333
16:45:00,2939.531111111111
17:00:00,3089.8844444444444
17:15:00,3017.451111111111
17:30:00,3024.702222222222
17:45:00,2959.0644444444442
18:00:00,2854.2955555555554
18:15:00,2893.4
18:30:00,2704.771111111111
18:45:00,2556.4622222222224
19:00:00,2309.98
19:15:00,1802.411111111111
19:30:00,1580.0177777777778
19:45:00,1364.9822222222222
20:00:00,1222.58
20:15:00,1222.0333333333333
20:30:00,1106.94
20:45:00,1004.3777777777777
21:00:00,977.6355555555556
21:15:00,876.52
21:30:00,661.8
21:45:00,537.24
22:00:00,443.82666666666665
22:15:00,312.08222222222224
22:30:00,277.26666666666665
22:45:00,248.76666666666668
23:00:00,224.0
23:15:00,174.44
23:30:00,149.66666666666666
23:45:00,120.0
