time,avg_power_kw
00:00:00,1795.4224194830224
00:15:00,1697.1780777961894
00:30:00,1616.713357218401
00:45:00,1579.2675454343716
01:00:00,1546.8738390361934
01:15:00,1457.5643100257184
01:30:00,1415.9338429300915
01:45:00,1360.849465774126
02:00:00,1315.245887640428
02:15:00,1133.2924881785145
02:30:00,1023.1023775904723
02:45:00,974.0071062951935
03:00:00,909.1638725881824
03:15:00,834.829122806751
03:30:00,738.4057287348775
03:45:00,639.2574565231462
04:00:00,548.3979896229015
04:15:00,466.6655479711921
04:30:00,373.8652816332522
04:45:00,321.6365197449688
05:00:00,235.07835291215582
05:15:00,159.09733293829427
05:30:00,108.23768068950531
05:45:00,99.68520931810703
06:00:00,91.2778525311408
06:15:00,77.84083114506154
06:30:00,73.85735520028605
06:45:00,70.62448315853392
07:00:00,64.52672377678242
07:15:00,56.217387675242385
07:30:00,51.83421097009904
07:45:00,60.14850981353907
08:00:00,63.521975192618015
08:15:00,60.85296442994417
08:30:00,74.02000985819447
08:45:00,76.01221831125841
09:00:00,93.7653015981286
09:15:00,99.32899178886564
09:30:00,110.35976402066505
09:45:00,108.72652339960344
10:00:00,114.63853444324951
10:15:00,142.9354274457149
10:30:00,149.4126397047278
10:45:00,157.61836568390777
11:00:00,192.1103294635892
11:15:00,212.41259529146905
11:30:00,220.35726287815731
11:45:00,245.00897736532642
12:00:00,271.8125912877422
12:15:00,287.73745423103315
12:30:00,314.48654552397505
12:45:00,404.291165149492
13:00:00,473.51972447184886
13:15:00,536.5009817535325
13:30:00,622.282815297438
13:45:00,697.4008777821484
14:00:00,748.4316367878728
14:15:00,801.7548431582654
14:30:00,880.6332596070481
14:45:00,953.2048912844223
15:00:00,1010.6091996802605
15:15:00,1083.0847633649864
15:30:00,1141.3509011970725
15:45:00,1176.970927304433
16:00:00,1216.9643567467574
16:15:00,1263.5239136997118
16:30:00,1384.7246998150858
16:45:00,1469.7157219376274
17:00:00,1544.873360042637
17:15:00,1591.229571381142
17:30:00,1651.8014888662883
17:45:00,1661.7176230489197
18:00:00,1701.209259513954
18:15:00,1750.1839485970108
18:30:00,1812.2033109770782
18:45:00,1907.2659562274084
19:00:00,1924.3147446199425
19:15:00,1936.8480034625447
19:30:00,1937.5446734626314
19:45:00,1937.5446734626314
20:00:00,1925.5220841603264
20:15:00,1937.894898130756
20:30:00,1943.5027304682317
20:45:00,1941.1169115538737
21:00:00,1932.8709357616626
21:15:00,1920.867173580135
21:30:00,1917.7465122689202
21:45:00,1915.53727983131
22:00:00,1882.781289624445
22:15:00,1865.512772823903
22:30:00,1865.512772823903
22:45:00,1865.512772823903
23:00:00,1865.512772823903
23:15:00,1865.512772823903
23:30:00,1863.6774486514594
23:45:00,1859.1351984795185
