time,avg_power_MW
00:00:00,238.67822010222923
00:15:00,216.35661896427783
00:30:00,193.59172785116183
00:45:00,188.17771170624718
01:00:00,191.56039751905817
01:15:00,192.49097988646463
01:30:00,203.01065148786992
01:45:00,212.73312304863413
02:00:00,234.24532035058314
02:15:00,218.86269412437866
02:30:00,217.6505650414547
02:45:00,232.2595393955321
03:00:00,237.9506332604798
03:15:00,240.26729176581853
03:30:00,236.2515555541975
03:45:00,234.02926160735635
04:00:00,224.17581410201075
04:15:00,201.93310792280326
04:30:00,177.3228654435115
04:45:00,167.53628098599026
05:00:00,159.74922823885674
05:15:00,132.93834925237908
05:30:00,136.78838886219373
05:45:00,235.59994163568294
06:00:00,322.23657563411996
06:15:00,386.16211834969545
06:30:00,469.1601306016185
06:45:00,595.2316964077679
07:00:00,744.1513453968201
07:15:00,867.7317899892972
07:30:00,900.0
07:45:00,835.4512042987917
08:00:00,761.3061002170327
08:15:00,698.1481934181246
08:30:00,564.5379478831094
08:45:00,407.36715815431245
09:00:00,229.18401108005304
09:15:00,146.73276323720282
09:30:00,94.28996064992182
09:45:00,70.18832423364367
10:00:00,60.976177580310136
10:15:00,47.70721433378736
10:30:00,28.925745157251345
10:45:00,13.171332883632704
11:00:00,13.743192421194804
11:15:00,9.918419824311181
11:30:00,3.852961645323712
11:45:00,3.712703940890086
12:00:00,6.798889091754971
12:15:00,12.850080862080688
12:30:00,7.376592700335135
12:45:00,7.123406917699438
13:00:00,19.00423141298942
13:15:00,18.09943171183917
13:30:00,10.6609606124892
13:45:00,12.63316269664535
14:00:00,14.998636383429117
14:15:00,16.717824569391276
14:30:00,22.023381631588233
14:45:00,25.35776791627929
15:00:00,37.93661512934494
15:15:00,42.54139932269891
15:30:00,42.60327772171374
15:45:00,34.34423029765038
16:00:00,27.49961994440111
16:15:00,22.33827392879706
16:30:00,23.990942835818274
16:45:00,23.977879618248476
17:00:00,23.290341851416976
17:15:00,24.055227617017017
17:30:00,26.445796432290138
17:45:00,21.458397471694454
18:00:00,19.821541933310364
18:15:00,19.66426766914766
18:30:00,20.423996901496466
18:45:00,23.513791625637214
19:00:00,26.610805496329696
19:15:00,26.76240757391604
19:30:00,30.225019652121166
19:45:00,44.91426404047611
20:00:00,51.48953147356914
20:15:00,54.996833506618316
20:30:00,61.04544701031841
20:45:00,68.47429258093274
21:00:00,85.18610119486424
21:15:00,105.30036233240311
21:30:00,107.57353407398976
21:45:00,113.19278024230358
22:00:00,130.13439835479852
22:15:00,142.98619806129634
22:30:00,146.1799828726703
22:45:00,158.3884191138555
23:00:00,182.3119832485243
23:15:00,205.48286541295428
23:30:00,235.10182052361347
23:45:00,247.30475646266405
