time,avg_power_MW
00:00:00,9.142184804042397
00:15:00,2.522029824993838
00:30:00,0.8041656396351985
00:45:00,0.0
01:00:00,0.14974118807000245
01:15:00,0.12478432339166873
01:30:00,0.0
01:45:00,0.0
02:00:00,0.0
02:15:00,0.0
02:30:00,0.0
02:45:00,0.0
03:00:00,0.0
03:15:00,0.0
03:30:00,1.8610195341385263
03:45:00,5.247007487059403
04:00:00,7.95500061621888
04:15:00,7.95500061621888
04:30:00,7.95500061621888
04:45:00,7.822763895735765
05:00:00,3.869180582943062
05:15:00,4.8359124661079615
05:30:00,6.065904609317228
05:45:00,10.96906196080848
06:00:00,12.194548003450826
06:15:00,12.478432339166872
06:30:00,11.918116064826226
06:45:00,3.7359039930983484
07:00:00,4.539549698052748
07:15:00,0.9961948484101552
07:30:00,5.9239624414592065
07:45:00,6.979083220359872
08:00:00,8.758819632733548
08:15:00,9.167834914961796
08:30:00,17.40082727384767
08:45:00,22.515251417303425
09:00:00,27.818758473009616
09:15:00,20.085943277052007
09:30:00,19.682127341631748
09:45:00,17.762355188562974
10:00:00,19.49113800221839
10:15:00,28.31824238969682
10:30:00,26.751679196450578
10:45:00,35.56821157875277
11:00:00,54.61151250924328
11:15:00,56.02469497165392
11:30:00,51.52725998274587
11:45:00,58.86908429874291
12:00:00,66.89306291594774
12:15:00,74.46972439610549
12:30:00,96.79259998151345
12:45:00,135.06880468942566
13:00:00,152.81365541040176
13:15:00,182.36882240571853
13:30:00,210.13576072220852
13:45:00,217.97256285432587
14:00:00,235.568365633473
14:15:00,262.27845005545964
14:30:00,293.22444232191276
14:45:00,292.3571912743406
15:00:00,322.6333343603648
15:15:00,356.84624953783583
15:30:00,338.98164052871573
15:45:00,339.8159623798373
16:00:00,339.99204692506777
16:15:00,385.6279270396845
16:30:00,436.2537935974858
16:45:00,454.73001910278526
17:00:00,531.7228131932462
17:15:00,629.0535455693863
17:30:00,680.9761292210994
17:45:00,780.5503797448854
18:00:00,838.8832380761646
18:15:00,899.9999999999999
18:30:00,882.2187538513681
18:45:00,821.3044198299235
19:00:00,754.3217548373182
19:15:00,671.554739493468
19:30:00,571.964197683017
19:45:00,441.43234301824003
20:00:00,349.73267654670934
20:15:00,302.2175791841262
20:30:00,247.74384936529455
20:45:00,187.73056214567413
21:00:00,172.88850674759675
21:15:00,151.44813362706432
21:30:00,120.48255715430119
21:45:00,79.39731867759428
22:00:00,63.830647646043865
22:15:00,47.227573484101555
22:30:00,34.86196697066798
22:45:00,28.760186868375644
23:00:00,29.838011461671186
23:15:00,15.680536726645304
23:30:00,11.67253358392901
23:45:00,9.358824254375154
